Sexo;País de nacimiento;Relación con la actividad;Periodo;Total
Total;Guatemala;Total;2021;13.654
Total;Guatemala;Ocupado/a;2022;5.660
Total;Guatemala;Ocupado/a;2021;4.900
Total;Guatemala;Parado/a;2022;768
Total;Guatemala;Parado/a;2021;1.047
Total;Guatemala;Inactivo/a;2022;7.758
Total;Guatemala;Inactivo/a;2021;7.707
Total;Guinea;Total;2022;13.689
Total;Guinea;Total;2021;13.732
Total;Guinea;Ocupado/a;2022;6.599
Total;Guinea;Ocupado/a;2021;5.949
Total;Guinea;Parado/a;2022;1.387
Total;Guinea;Parado/a;2021;2.085
Total;Guinea;Inactivo/a;2022;5.703
Total;Guinea;Inactivo/a;2021;5.698
Total;Guinea Ecuatorial;Total;2022;20.671
Total;Guinea Ecuatorial;Total;2021;20.304
Total;Guinea Ecuatorial;Ocupado/a;2022;7.344
Total;Guinea Ecuatorial;Ocupado/a;2021;6.329
Total;Guinea Ecuatorial;Parado/a;2022;2.209
Total;Guinea Ecuatorial;Parado/a;2021;2.938
Total;Guinea Ecuatorial;Inactivo/a;2022;11.118
Total;Guinea Ecuatorial;Inactivo/a;2021;11.037
Total;Guinea-Bissau;Total;2022;5.898
Total;Guinea-Bissau;Total;2021;5.672
Total;Guinea-Bissau;Ocupado/a;2022;2.931
Total;Guinea-Bissau;Ocupado/a;2021;2.712
Total;Guinea-Bissau;Parado/a;2022;610
Total;Guinea-Bissau;Parado/a;2021;786
Total;Guinea-Bissau;Inactivo/a;2022;2.357
Total;Guinea-Bissau;Inactivo/a;2021;2.174
Total;Honduras;Total;2022;135.394
Total;Honduras;Total;2021;127.193
Total;Honduras;Ocupado/a;2022;50.946
Total;Honduras;Ocupado/a;2021;40.841
Total;Honduras;Parado/a;2022;5.006
Total;Honduras;Parado/a;2021;7.081
Total;Honduras;Inactivo/a;2022;79.442
Total;Honduras;Inactivo/a;2021;79.271
Total;Hungría;Total;2022;9.230
Total;Hungría;Total;2021;9.005
Total;Hungría;Ocupado/a;2022;3.770
Total;Hungría;Ocupado/a;2021;3.356
Total;Hungría;Parado/a;2022;681
Total;Hungría;Parado/a;2021;1.054
Total;Hungría;Inactivo/a;2022;4.779
Total;Hungría;Inactivo/a;2021;4.595
Total;India;Total;2022;51.875
Total;India;Total;2021;52.056
Total;India;Ocupado/a;2022;24.801
Total;India;Ocupado/a;2021;22.148
Total;India;Parado/a;2022;2.341
Total;India;Parado/a;2021;3.515
Total;India;Inactivo/a;2022;24.733
Total;India;Inactivo/a;2021;26.393
Total;Indonesia;Total;2022;2.533
Total;Indonesia;Total;2021;2.314
Total;Indonesia;Ocupado/a;2022;1.001
Total;Indonesia;Ocupado/a;2021;891
Total;Indonesia;Parado/a;2022;77
Total;Indonesia;Parado/a;2021;116
Total;Indonesia;Inactivo/a;2022;1.455
Total;Indonesia;Inactivo/a;2021;1.307
Total;Irán;Total;2022;10.178
Total;Irán;Total;2021;9.498
Total;Irán;Ocupado/a;2022;3.019
Total;Irán;Ocupado/a;2021;2.702
Total;Irán;Parado/a;2022;457
Total;Irán;Parado/a;2021;600
Total;Irán;Inactivo/a;2022;6.702
Total;Irán;Inactivo/a;2021;6.196
Total;Iraq;Total;2022;2.836
Total;Iraq;Total;2021;2.644
Total;Iraq;Ocupado/a;2022;671
Total;Iraq;Ocupado/a;2021;634
Total;Iraq;Parado/a;2022;234
Total;Iraq;Parado/a;2021;299
Total;Iraq;Inactivo/a;2022;1.931
Total;Iraq;Inactivo/a;2021;1.711
Total;Irlanda;Total;2022;15.927
Total;Irlanda;Total;2021;14.039
Total;Irlanda;Ocupado/a;2022;5.575
Total;Irlanda;Ocupado/a;2021;4.980
Total;Irlanda;Parado/a;2022;388
Total;Irlanda;Parado/a;2021;583
Total;Irlanda;Inactivo/a;2022;9.964
Total;Irlanda;Inactivo/a;2021;8.476
Total;Israel;Total;2022;3.447
Total;Israel;Total;2021;3.321
Total;Israel;Ocupado/a;2022;1.405
Total;Israel;Ocupado/a;2021;1.273
Total;Israel;Parado/a;2022;154
Total;Israel;Parado/a;2021;213
Total;Israel;Inactivo/a;2022;1.888
Total;Israel;Inactivo/a;2021;1.835
Total;Italia;Total;2022;135.862
Total;Italia;Total;2021;133.742
Total;Italia;Ocupado/a;2022;69.441
Total;Italia;Ocupado/a;2021;62.832
Total;Italia;Parado/a;2022;8.839
Total;Italia;Parado/a;2021;14.381
Total;Italia;Inactivo/a;2022;57.582
Total;Italia;Inactivo/a;2021;56.529
Total;Japón;Total;2022;6.061
Total;Japón;Total;2021;6.119
Total;Japón;Ocupado/a;2022;2.411
Total;Japón;Ocupado/a;2021;2.310
Total;Japón;Parado/a;2022;250
Total;Japón;Parado/a;2021;327
Total;Japón;Inactivo/a;2022;3.400
Total;Japón;Inactivo/a;2021;3.482
Total;Jordania;Total;2022;2.528
Total;Jordania;Total;2021;2.481
Total;Jordania;Ocupado/a;2022;762
Total;Jordania;Ocupado/a;2021;697
Total;Jordania;Parado/a;2022;195
Total;Jordania;Parado/a;2021;256
Total;Jordania;Inactivo/a;2022;1.571
Total;Jordania;Inactivo/a;2021;1.528
Total;Kazajstán;Total;2022;3.299
Total;Kazajstán;Total;2021;2.770
Total;Kazajstán;Ocupado/a;2022;674
Total;Kazajstán;Ocupado/a;2021;564
Total;Kazajstán;Parado/a;2022;146
Total;Kazajstán;Parado/a;2021;196
Total;Kazajstán;Inactivo/a;2022;2.479
Total;Kazajstán;Inactivo/a;2021;2.010
Total;Letonia;Total;2022;4.323
Total;Letonia;Total;2021;4.069
Total;Letonia;Ocupado/a;2022;1.775
Total;Letonia;Ocupado/a;2021;1.629
Total;Letonia;Parado/a;2022;395
Total;Letonia;Parado/a;2021;503
Total;Letonia;Inactivo/a;2022;2.153
Total;Letonia;Inactivo/a;2021;1.937
Total;Líbano;Total;2022;4.968
Total;Líbano;Total;2021;4.517
Total;Líbano;Ocupado/a;2022;1.763
Total;Líbano;Ocupado/a;2021;1.545
Total;Líbano;Parado/a;2022;271
Total;Líbano;Parado/a;2021;325
Total;Líbano;Inactivo/a;2022;2.934
Total;Líbano;Inactivo/a;2021;2.647
Total;Lituania;Total;2022;13.391
Total;Lituania;Total;2021;13.490
Total;Lituania;Ocupado/a;2022;6.825
Total;Lituania;Ocupado/a;2021;6.502
Total;Lituania;Parado/a;2022;1.588
Total;Lituania;Parado/a;2021;2.086
Total;Lituania;Inactivo/a;2022;4.978
Total;Lituania;Inactivo/a;2021;4.902
Total;Mali;Total;2022;28.895
Total;Mali;Total;2021;25.656
Total;Mali;Ocupado/a;2022;18.113
Total;Mali;Ocupado/a;2021;15.700
Total;Mali;Parado/a;2022;2.152
Total;Mali;Parado/a;2021;2.283
Total;Mali;Inactivo/a;2022;8.630
Total;Mali;Inactivo/a;2021;7.673
Total;Marruecos;Total;2022;894.468
Total;Marruecos;Total;2021;871.922
Total;Marruecos;Ocupado/a;2022;344.917
Total;Marruecos;Ocupado/a;2021;309.279
Total;Marruecos;Parado/a;2022;133.150
Total;Marruecos;Parado/a;2021;166.908
Total;Marruecos;Inactivo/a;2022;416.401
Total;Marruecos;Inactivo/a;2021;395.735
Total;Mauritania;Total;2022;10.134
Total;Mauritania;Total;2021;9.437
Total;Mauritania;Ocupado/a;2022;3.740
Total;Mauritania;Ocupado/a;2021;3.202
Total;Mauritania;Parado/a;2022;1.553
Total;Mauritania;Parado/a;2021;2.098
Total;Mauritania;Inactivo/a;2022;4.841
Total;Mauritania;Inactivo/a;2021;4.137
Total;México;Total;2022;59.884
Total;México;Total;2021;56.716
Total;México;Ocupado/a;2022;25.810
Total;México;Ocupado/a;2021;22.905
Total;México;Parado/a;2022;3.946
Total;México;Parado/a;2021;5.181
Total;México;Inactivo/a;2022;30.128
Total;México;Inactivo/a;2021;28.630
Total;Moldavia;Total;2022;20.761
Total;Moldavia;Total;2021;20.364
Total;Moldavia;Ocupado/a;2022;11.406
Total;Moldavia;Ocupado/a;2021;10.643
Total;Moldavia;Parado/a;2022;1.809
Total;Moldavia;Parado/a;2021;2.410
Total;Moldavia;Inactivo/a;2022;7.546
Total;Moldavia;Inactivo/a;2021;7.311
Total;Nepal;Total;2022;5.341
Total;Nepal;Total;2021;5.287
Total;Nepal;Ocupado/a;2022;2.843
Total;Nepal;Ocupado/a;2021;2.398
Total;Nepal;Parado/a;2022;289
Total;Nepal;Parado/a;2021;451
Total;Nepal;Inactivo/a;2022;2.209
Total;Nepal;Inactivo/a;2021;2.438
Total;Nicaragua;Total;2022;63.874
Total;Nicaragua;Total;2021;63.178
Total;Nicaragua;Ocupado/a;2022;26.463
Total;Nicaragua;Ocupado/a;2021;22.217
Total;Nicaragua;Parado/a;2022;2.626
Total;Nicaragua;Parado/a;2021;3.750
Total;Nicaragua;Inactivo/a;2022;34.785
Total;Nicaragua;Inactivo/a;2021;37.211
Total;Nigeria;Total;2022;31.749
Total;Nigeria;Total;2021;31.941
Total;Nigeria;Ocupado/a;2022;11.620
Total;Nigeria;Ocupado/a;2021;10.034
Total;Nigeria;Parado/a;2022;5.548
Total;Nigeria;Parado/a;2021;7.477
Total;Nigeria;Inactivo/a;2022;14.581
Total;Nigeria;Inactivo/a;2021;14.430
Total;Noruega;Total;2022;9.957
Total;Noruega;Total;2021;9.409
Total;Noruega;Ocupado/a;2022;1.723
Total;Noruega;Ocupado/a;2021;1.574
Total;Noruega;Parado/a;2022;100
Total;Noruega;Parado/a;2021;179
Total;Noruega;Inactivo/a;2022;8.134
Total;Noruega;Inactivo/a;2021;7.656
Total;Países Bajos;Total;2022;48.507
Total;Países Bajos;Total;2021;45.138
Total;Países Bajos;Ocupado/a;2022;17.214
Total;Países Bajos;Ocupado/a;2021;15.958
Total;Países Bajos;Parado/a;2022;1.679
Total;Países Bajos;Parado/a;2021;2.326
Total;Países Bajos;Inactivo/a;2022;29.614
Total;Países Bajos;Inactivo/a;2021;26.854
Total;Pakistán;Total;2022;93.830
Total;Pakistán;Total;2021;91.530
Total;Pakistán;Ocupado/a;2022;40.902
Total;Pakistán;Ocupado/a;2021;37.489
Total;Pakistán;Parado/a;2022;5.754
Total;Pakistán;Parado/a;2021;7.601
Total;Pakistán;Inactivo/a;2022;47.174
Total;Pakistán;Inactivo/a;2021;46.440
Total;Panamá;Total;2022;5.637
Total;Panamá;Total;2021;5.315
Total;Panamá;Ocupado/a;2022;2.169
Total;Panamá;Ocupado/a;2021;1.928
Total;Panamá;Parado/a;2022;421
Total;Panamá;Parado/a;2021;525
Total;Panamá;Inactivo/a;2022;3.047
Total;Panamá;Inactivo/a;2021;2.862
Total;Paraguay;Total;2022;104.258
Total;Paraguay;Total;2021;101.395
Total;Paraguay;Ocupado/a;2022;50.893
Total;Paraguay;Ocupado/a;2021;46.527
Total;Paraguay;Parado/a;2022;6.850
Total;Paraguay;Parado/a;2021;9.476
Total;Paraguay;Inactivo/a;2022;46.515
Total;Paraguay;Inactivo/a;2021;45.392
Total;Perú;Total;2022;247.711
Total;Perú;Total;2021;234.480
Total;Perú;Ocupado/a;2022;127.470
Total;Perú;Ocupado/a;2021;115.231
Total;Perú;Parado/a;2022;18.405
Total;Perú;Parado/a;2021;24.664
Total;Perú;Inactivo/a;2022;101.836
Total;Perú;Inactivo/a;2021;94.585
Total;Polonia;Total;2022;47.994
Total;Polonia;Total;2021;47.944
Total;Polonia;Ocupado/a;2022;25.544
Total;Polonia;Ocupado/a;2021;24.401
Total;Polonia;Parado/a;2022;4.911
Total;Polonia;Parado/a;2021;6.521
Total;Polonia;Inactivo/a;2022;17.539
Total;Polonia;Inactivo/a;2021;17.022
Total;Portugal;Total;2022;91.351
Total;Portugal;Total;2021;91.640
Total;Portugal;Ocupado/a;2022;42.141
Total;Portugal;Ocupado/a;2021;40.018
Total;Portugal;Parado/a;2022;7.850
Total;Portugal;Parado/a;2021;10.462
Total;Portugal;Inactivo/a;2022;41.360
Total;Portugal;Inactivo/a;2021;41.160
Total;Reino Unido;Total;2022;279.867
Total;Reino Unido;Total;2021;273.127
Total;Reino Unido;Ocupado/a;2022;69.843
Total;Reino Unido;Ocupado/a;2021;66.830
Total;Reino Unido;Parado/a;2022;6.564
Total;Reino Unido;Parado/a;2021;9.258
Total;Reino Unido;Inactivo/a;2022;203.460
Total;Reino Unido;Inactivo/a;2021;197.039
Total;República Checa;Total;2022;6.972
Total;República Checa;Total;2021;6.935
Total;República Checa;Ocupado/a;2022;3.120
Total;República Checa;Ocupado/a;2021;2.893
Total;República Checa;Parado/a;2022;701
Total;República Checa;Parado/a;2021;1.013
Total;República Checa;Inactivo/a;2022;3.151
Total;República Checa;Inactivo/a;2021;3.029
Total;República Dominicana;Total;2022;178.400
Total;República Dominicana;Total;2021;175.613
Total;República Dominicana;Ocupado/a;2022;88.367
Total;República Dominicana;Ocupado/a;2021;78.079
Total;República Dominicana;Parado/a;2022;21.817
Total;República Dominicana;Parado/a;2021;31.643
Total;República Dominicana;Inactivo/a;2022;68.216
Total;República Dominicana;Inactivo/a;2021;65.891
Total;República Eslovaca;Total;2022;5.216
Total;República Eslovaca;Total;2021;5.210
Total;República Eslovaca;Ocupado/a;2022;2.629
Total;República Eslovaca;Ocupado/a;2021;2.429
Total;República Eslovaca;Parado/a;2022;577
Total;República Eslovaca;Parado/a;2021;776
Total;República Eslovaca;Inactivo/a;2022;2.010
Total;República Eslovaca;Inactivo/a;2021;2.005
Total;Rumanía;Total;2022;528.224
Total;Rumanía;Total;2021;543.647
Total;Rumanía;Ocupado/a;2022;291.899
Total;Rumanía;Ocupado/a;2021;284.501
